Generated by http://statistics.gov.scot,2024-03-03T15:12:57+00:00
http://statistics.gov.scot/data/residential-properties-sales-and-price,House Prices - Residential Properties Sales and Price
measure type,Count
Sales,Number of sales
Measure (cell values): ,Count(Number of sales)

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021,http://reference.data.gov.uk/id/year/2022
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,137998,140664,149641,154134,101787,68991,73792,69351,72276,84204,94251,97754,100385,104415,102003,103737,85457,117282,101563
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,7192,7392,7685,7454,5385,4137,4502,4346,4636,5537,5310,4923,3945,3998,3892,3965,3174,4782,4651
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,5922,6170,6006,6315,4900,4118,4358,4184,4324,5199,5810,5060,4087,4220,4010,4111,3570,5646,4639
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,2626,2714,2825,2893,2075,1412,1585,1380,1382,1764,1996,1968,2017,2106,2071,2104,1840,2592,2144
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,2534,2244,2474,2275,1726,1218,1324,1351,1317,1367,1607,1574,1742,1900,1814,1934,1578,2281,1861
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,15403,15012,16777,16417,10428,7355,7878,7505,7989,9808,11127,11991,12264,12437,11382,11496,8597,13028,11043
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,1413,1556,1686,1680,963,575,604,565,580,766,846,864,977,895,956,896,820,986,954
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,3362,3126,3236,3338,2258,1692,1888,1788,1705,1964,1938,2113,2262,2486,2511,2602,2138,2893,2418
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,3576,3786,4057,4390,2902,1898,2013,1777,1878,2112,2192,2337,2612,2587,2581,2638,2288,3221,2794
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,2961,3041,3428,3559,2279,1365,1348,1380,1378,1527,1735,1836,2066,2267,2112,2166,1752,2548,2262
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,2227,2362,2319,2556,1608,1229,1336,1335,1463,1698,1981,1962,1926,2063,1873,2040,1677,1967,1661
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,2338,2524,2889,2983,1824,1234,1405,1256,1439,1585,1737,1870,1927,2238,2242,2426,1959,2487,2026
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,1880,1886,2099,2082,1446,1147,1264,1211,1326,1618,1651,1870,1744,1796,1710,1737,1513,2014,1812
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,4484,4510,4560,4557,3070,1789,1994,1987,2114,2393,2726,2795,2957,3057,3017,2972,2459,3130,2763
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,9853,10218,10686,11139,6857,4745,5140,4875,4906,5813,6269,6501,6584,6948,6959,7066,5885,7625,6672
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,16267,16835,18294,19288,12585,8026,8129,7475,7666,8995,10342,11593,11800,12157,11698,11840,9421,13664,11617
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,5247,5477,5682,6102,4156,3186,3407,2912,3044,3518,4077,3951,4465,4645,4533,4538,3699,4982,4385
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,1823,1887,2003,2140,1523,1027,969,953,865,1049,1080,1140,1264,1308,1300,1349,1265,1624,1363
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,1611,1546,1764,1950,1555,938,1013,880,1017,1391,1585,1646,1901,1860,1785,1852,1607,2209,1865
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,2085,2146,2016,2090,1610,1328,1425,1166,1364,1429,1780,1683,1756,1752,1658,1664,1423,1950,1782
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,373,332,331,378,287,220,241,277,229,259,292,329,347,408,327,354,263,439,332
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,3743,3894,4119,4598,2488,1579,1747,1623,1804,1867,1967,2074,2298,2407,2471,2522,2223,2829,2478
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,8294,9066,9472,9408,6132,3431,3528,3477,3765,4178,4817,5145,5428,5594,5701,5885,4741,5878,5347
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,380,356,366,403,353,278,297,269,270,306,347,338,423,422,395,396,338,402,318
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,3685,3767,4114,4250,2882,1934,2233,1992,1981,2297,2709,2872,2964,3113,3109,3070,2590,3753,3150
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,4632,4779,5204,5493,3552,2214,2172,1970,2084,2587,2992,3184,3730,3820,3925,3855,3249,4514,3871
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,2623,2655,3019,3039,2075,1414,1526,1319,1319,1625,1772,1871,1999,2212,2240,2041,1924,2506,2121
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,320,289,370,373,341,264,227,304,288,311,329,307,310,322,289,303,256,305,277
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,3124,3156,3016,3583,2128,1602,1691,1608,1620,1773,2036,2033,2258,2341,2257,2288,1926,2460,2227
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,8648,8662,9619,9705,6090,3838,4315,4170,4298,4607,5537,5753,6116,6527,6891,7173,5779,7622,6713
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,2286,2308,2308,2283,1567,1135,1329,1230,1254,1438,1588,1721,1744,1781,1739,1669,1377,1880,1741
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,2213,2363,2140,2312,1581,834,963,947,941,1119,1261,1383,1315,1410,1414,1495,1266,1512,1281
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,4873,4605,5077,5101,3161,1829,1941,1839,2030,2304,2815,3067,3157,3338,3141,3290,2860,3553,2995
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,3723,3804,4033,3672,2624,1947,2118,1949,2080,2454,2429,1989,1486,1526,1437,1446,1154,1737,1886
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,1889,1847,1949,2046,1478,1192,1265,1324,1494,1677,1575,1650,1470,1336,1310,1376,1082,1683,1499
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,1889,2021,2010,2066,1561,1291,1420,1438,1446,1961,1788,1637,1208,1386,1394,1424,1163,1736,1646
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,1873,2043,1873,1971,1638,1442,1424,1247,1328,1570,1929,1685,1315,1363,1264,1387,1139,1867,1473
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,1604,1722,1753,1773,1318,1173,1310,1243,1331,1538,1607,1443,1084,1188,1164,1104,983,1527,1281
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,1601,1746,1766,1845,1444,891,839,740,748,824,954,893,973,1122,1022,1132,921,1193,1128
