Generated by http://statistics.gov.scot,2024-03-03T15:29:57+00:00
http://statistics.gov.scot/data/residential-properties-sales-and-price,House Prices - Residential Properties Sales and Price
measure type,Median
Sales,Price - Median
Measure (cell values): ,Median(Pounds (GBP))

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021,http://reference.data.gov.uk/id/year/2022
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,85550,97500,115000,127347.5,129000,127000,128000,129995,125000,130000,135000,140000,140000,145000,151000,155000,162005,171000,180000
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,75000,87325,110000,140000,145000,145778,148000,155000,155689.5,167500,180000,185000,172500,167125.5,165000,160000,157000,160000,150000
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,94000,115000,134000,173000,180000,175000,185000,190000,185997.5,200000,210000,217825,194209,195000,198000,195000,195000,200000,210995
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,71000,90000,107000,125000,125000,122500,125000,125000,128649.5,132000,142500,142932.5,146750,144000,150000,155500,160000,165000,174500
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,75000,95288.5,110000,128000,125000,125000,125000,123500,122500,121000,125000,125000,124750,125000,140000,145311.5,150000,161161,175000
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,137650,145000,160000,174995,172000,163000,175000,175211,175000,175000,179000,194500,190000,210000,221000,226000,240000,250000,265000
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,70000,79000,95000,116995,105000,115000,100000,94000,95050,105000,120000,112500,110000,117000,127459,132995,134997.5,145166,150627.5
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,82192,92995,110000,120000,123000,117750,120310,115250,117000,116000,120000,120000,120000,123000,130000,129250,130000,140000,150000
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,60000,75000,90000,110113.5,106075,110000,105000,102000,100875,110000,110000,112500,115000,115000,117100,125000,133000,140000,135000
