Generated by http://statistics.gov.scot,2024-03-03T15:14:36+00:00
http://statistics.gov.scot/data/residential-properties-sales-and-price,House Prices - Residential Properties Sales and Price
measure type,Upper Quartile
Sales,Price - Upper Quartile
Measure (cell values): ,Upper Quartile(Pounds (GBP))

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021,http://reference.data.gov.uk/id/year/2022
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,141162,155000,170000,189500,191250,184224.5,195000,195000,193000,196867.5,205000,213995,210000,220000,227000,230239.5,242000,259995,275000
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,120995,141500,163298,210000,215000,207000,222400,227000,225000,249475,260000,269725,249995,250000,242500,252000,239995,249995,236247.5
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,150000,168950,190995,240000,250000,240000,250000,250000,250000,272000,289995,297500,270169.5,267000,270000,265000,270000,284995,295000
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,126000,146570.5,165000,184950,185000,175000,180622.5,182000,180500,185000,196100,200000,210000,210000,217250,223000,226750,240620,253975
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,140050,168000,170000,205000,190000,197500,205000,196500,188528.5,195000,195000,200000,204000,203587.5,218200,235000,240000,257750,280000
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,198000,210000,232185,249999,250000,245000,270000,267900,265413.5,265000,282065,299997.5,291000,310000,330000,330000,352301,365000,390000
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,127995,140747.5,163247.5,177000,172000,160000,159995,160600,156500,160000,170000,175000,171000,175000,186063,193250,208747.5,219995,245250
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,130341,147200,160000,174000,175000,169972.5,172000,168000,167250,165000,170000,170000,170750,170126,186087.5,182175,190000,215000,232500
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,102300.5,120000,141670,170000,168000,169475,160000,160000,159975,163997.5,167250,170000,176500,180000,180000,189997.5,200000,214995,215000
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,100000,120000,135000,151997.5,154997.5,145000,146000,149000,140000,141975,145000,155000,155000,165000,169997.5,163147.5,174677.5,185299.5,215000
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,201750,220000,222750,240000,245000,227888.5,247250,250000,262500,265995.125,285000,290000,285000,301000,320000,335000,322500,370785,376764.5
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,190000,198000,216608.5,240000,229950,225000,249995,235053.5,235000,248500,250000,265000,267000,285000,303995,321772.5,334997.5,349497.5,365000
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,225750,230000,249875,252000,275985,250000,270000,260125,270000,285000,308933,300159,325000,340000,345000,330000,362000,375000,407995
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,120077.5,130000,145000,162000,164995,152500,155000,160000,159239,160000,161995,165000,175000,182995,189995,195995,204800,214995,231429.5
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,129972.5,143000,157500,173999,181000,172995,175000,172500,170000,171000,177500,186853,190000,198500,205000,208000,221000,236500,251000
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,140000,150000,157500,169500,164000,157087.5,160000,162000,156000,155000,159725,170000,174995,187225,195000,195000,210000,228872.5,244995
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,137000,157000,180000,195500,200000,191000,195000,194475,190000,191500,200000,210000,215000,220997.5,230000,231775,245000,260750,281832.5
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,120000,131131,144750,154000,165000,150000,165000,157000,163000,155000,163500,172000,160000,157050,170000,165000,185000,175240,167250
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,155000,161080.5,180302.5,197500,209000,208375,205000,202250,205660.5,220000,218685.5,221650,240747.5,250000,269995,285000,300000,322782,335750
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,111333,129568,150000,177600,185000,175000,174995,175000,182250,180000,189225,190226,195000,200000,211000,215000,224475,234975,253000
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,80000,93000,100000,120000,130125,117500,124949.5,120000,125000,125000,123250,125000,138250,130000,137184.5,149500,175000,170000,196500
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,108000,130000,146000,154872.5,150000,143000,154000,150000,145000,141997.5,153500,158250,150777.5,160000,161130,170750,182115.5,189995,200000
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,97497,122250,136995,145950,148000,140000,140000,146000,147637.5,150000,156751,160000,164995,170000,187000,190000,194995,195000,205000
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,95637.5,120000,134250,143500,146610,156028.5,144975,165000,172000,160000,156500,171750,175000,184000,187331,204000,215000,235000,271000
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,161500,178000,193500,220000,221250,215000,225000,230000,225000,221997.5,235000,243131.5,237500,245000,245000,251250,270000,285995,310000
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,115000,126462.5,140000,155000,158250,150250,158872.5,145624.5,140000,151250,168000,175000,177750,185000,190000,196000,208500,220500,237000
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,166611.5,175000,190000,210075,218500,206125,223000,217997.5,210000,207250,220000,220000,230000,235000,240000,230000,260000,275000,300000
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,90135.5,95000,111055.5,137750,156780,137500,150000,160250,158000,166166.5,175000,182700,195000,200000,198000,207000,200000,223500,235380
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,140000,155000,185000,195537.5,187000,182500,192000,185000,178750,188500,187500,196050,200000,200000,215000,204022,245000,250000,260000
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,132000,145000,158000,163000,175000,165000,170000,170272.5,166997.5,160378.5,165300,178000,181000,199995,198950,210000,215997.5,230000,250000
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,183000,185000,200000,230000,225000,215000,226747.5,241050,235000,224655,237750,240574.5,236250,250000,267575,265500,305000,300000,311500
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,98000,115000,120000,130000,141250,128750,130000,140000,152250,145000,146997.5,154500,145000,149522.5,155750,165214.5,172000,166837.5,171250
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,136000,145000,160847.5,173975,175000,165000,173250,175000,170000,172995,185000,200000,205000,200000,212995,230000,245000,273000,295000
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,115000,135997.5,150572.5,195000,195000,182961,195000,200000,208750,220610,242747.5,240000,230000,215000,200000,200000,184000,200000,180000
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,108000,124000,150000,193000,195500,194500,195000,210000,206000,230000,249527.5,260000,239972.5,230000,222000,231000,227845,238000,230000
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,155200,176225,214995,272638.5,280000,264000,287000,289995,300000,305000,338997.5,340000,309261.5,310000,298625,309000,290000,312500,315657.5
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,150000,167995,185000,244002.5,250000,230000,250000,245000,245000,260000,270000,285000,265000,258250,265000,256500,270500,280000,284495
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,185995,200000,234972.5,280997.5,290000,277250,290000,315000,305000,325000,347076.5,350000,310500,306000,317500,306875,315000,337500,340550
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,89995,106500,125000,129995,149000,150000,148000,142100,135000,140000,137250,135117,144000,150000,155000,167061.5,180000,175000,191000
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,139995,138000,147725,165000,170000,163166.5,160000,170000,161000,159950,180000,200000,204497.5,195000,230000,245000,262000,290995,315000
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,126657.5,150000,160000,195000,210000,200000,230000,220500,227000,225000,245000,235777.5,230000,227500,232500,235000,235000,252000,275000
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,140000.125,158000,180000,196247.5,190000,175000,188087,190500,180000,190000,195000,209500,220000,227111.5,225000,235000,239626,252000,265000
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,112500,150000,155000,185525,175000,180000,185000,175000,180000,175000,180000,185000,186500,190000,200000,206287.5,220000,237750,260000
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,140000,160755,190000,210000,195000,190000,202250,190000,185000,190000,190521,205000,216997.5,215000,225000,210000,255000,257124,269591.5
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,83950,98000,120000,152000,167500,169000,171500,175000,170000,175625,190000,194000,189950,194946,186750,197750,191500,200000,220000
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",106350,133275,150000,165000,168000,165000,162250,160000,160000,165000,170000,175000,182250,181800,185000,194780,202000,225000,245000
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",112000,129972.5,148000,160000,157000,150000,145000,150000,149000,155997.5,150000,152500,149000,149475,165077.5,167576.5,179497.5,195000,217500
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,143497.5,159725,178610,190000,195000,175000,190000,190000,202500,185000,195000,200000,201747.5,204997.5,206092.5,224111.5,245000,257750,266277.5
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,160000,179600,190000,205169,216000,205000,230000,225000,231178.5,225000,227500,250000,231875,265125.5,265000,304387.5,279000,290000,300000
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,135000,158000,175997.5,186525,190000,190000,189995,185500,190000,180000,170000,185000,185000,220000,225375,241000,233500,259997.5,282606
http://statistics.gov.scot/id/statistical-geography/S16000149,Coatbridge and Chryston,117000,154747.5,167000,179995,155500,140750,150050.5,155000,167000,172750,190000,182750,188995,190000,200000,217997.5,226000,225000,255000
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,103975,119997.5,128000,145000,165000,157000,164497.5,160000,145000,150000,155997.5,162750,157810,172250,174250,185000,194497.5,210000,213750
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,93225,118000,126000,144997.5,152000,139250,145000,155000,136000,136250,166497.5,173250,173000,175745.5,199995,202000,194000,161349.5,198088
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,116997.5,140000,165000,170550,170000,155000,165000,160000,155000,152500,163500,165000,160000,170000,170000,180000,195000,207006.5,213000
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,90325,119995,122500,130250,128000,124950,133200,130000,122500,125000,140500,150000,138947.5,150000,148995,160000,170000,170025,185000
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,140000,146000,152625,165887.5,168750,165000,183500,189235,185000,186800,191000,185000,185000,193000,207497.5,215000,225000,243500,258000
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,138000,152250,160000,173050,169997.5,172500,172504,170000,169147.5,166000,171007.5,174997.5,170000,172325,185000,185000,190000,215000,230000
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,100000,111413.5,132875,167000,170750,175000,168000,168750,157385,165000,175000,169000,171775,177250,180818.5,185000,201125,216000,215000
