Generated by http://statistics.gov.scot,2024-03-03T15:13:43+00:00
http://statistics.gov.scot/data/residential-properties-sales-and-price,House Prices - Residential Properties Sales and Price
measure type,Lower Quartile
Sales,Price - Lower Quartile
Measure (cell values): ,Lower Quartile(Pounds (GBP))

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018,http://reference.data.gov.uk/id/year/2019,http://reference.data.gov.uk/id/year/2020,http://reference.data.gov.uk/id/year/2021,http://reference.data.gov.uk/id/year/2022
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,50000,63000,75000,87000,87000,85000,85000,85000,82000,82395,85000,90000,88500,90500,96000,98250,102000,110000,115000
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,48000,57900,75000,102049.5,107500,105000,110000,114000,112500,117027.5,125000,135000,126500,123000,120000,110000,107250,105000,95000
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,54000,67653.5,81185.5,109303.91,115228.125,119730,124500,125000,125000,134247.5,140000,145000,130000,133000,135000,135000,135000,138500,140000
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,39000,55000,70000,85000,84000,81500,85000,84000,85000,85000,90000,90925,91000,90050,94750,99000,100500,104302.5,110000
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,40000,58500,70000,82000,77000,80000,80000,77000,78000,75500,76500,80000,75000,77375,82625,86450,86250,95000,110000
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,93000,100000,116000,130000,128739.5,124000,125000,124987,123125,120000,125000,134175,135565,147000,157500,165000,175000,180875,195000
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,43704.5,52500,66000,83000,77000,79995,73000,70000,68000,69250,76212.5,73000,73000,75000,85000,83500,85000,90000,95500
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,51000,63000,75000,85000,85000,82000,83505,82000,80000,78000,80000,80000,80000,82000,86500,85000,85390,91135.5,100000
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,34935,45500,60000,75563,75000,75000,74000,71789,71000,74000,73000,75000,75000,77000,80000,80000,86000,92000,89745
